,technology,plant_state,operating_year,nameplate_cap
0,All Other,CA,1957,4.0
1,All Other,CA,1958,4.0
2,All Other,CA,1976,5.0
3,All Other,CA,1978,4.0
4,All Other,CA,1982,34.0
5,All Other,CA,1983,7.5
6,All Other,CA,1988,19.3
7,All Other,CA,1993,4.0
8,All Other,CA,1996,31.9
9,All Other,CO,1984,6.1
10,All Other,CO,2009,4.5
11,All Other,CT,1991,31.3
12,All Other,FL,1978,7.5
13,All Other,FL,1980,21.0
14,All Other,FL,1981,10.0
15,All Other,FL,1982,32.0
16,All Other,FL,1984,58.5
17,All Other,FL,1985,36.9
18,All Other,FL,1988,75.9
19,All Other,FL,1992,83.0
20,All Other,FL,1999,42.5
21,All Other,FL,2014,35.0
22,All Other,HI,2002,39.1
23,All Other,ID,1986,15.9
24,All Other,IL,2010,78.0
25,All Other,IN,1998,94.6
26,All Other,KS,2005,2.0
27,All Other,LA,1943,22.5
28,All Other,LA,1947,35.0
29,All Other,LA,1950,55.0
30,All Other,LA,1951,46.0
31,All Other,LA,1957,20.0
32,All Other,LA,1968,11.0
33,All Other,LA,1969,82.0
34,All Other,LA,1990,5.7
35,All Other,LA,2004,4.5
36,All Other,LA,2006,10.0
37,All Other,LA,2011,20.8
38,All Other,LA,2012,36.4
39,All Other,LA,2016,15.0
40,All Other,MD,2018,6.0
41,All Other,ME,1987,22.0
42,All Other,MN,1986,10.6
43,All Other,MN,2006,6.5
44,All Other,MN,2010,5.0
45,All Other,MS,1951,1.6
46,All Other,MT,2006,30.0
47,All Other,MT,2008,7.5
48,All Other,MT,2009,22.5
49,All Other,NC,1984,54.0
50,All Other,ND,2009,5.3
51,All Other,NJ,1967,11.2
52,All Other,NV,2010,7.5
53,All Other,TX,1952,7.5
54,All Other,TX,1970,1.5
55,All Other,TX,1977,6.0
56,All Other,TX,1979,102.0
57,All Other,TX,1983,12.0
58,All Other,TX,1989,15.0
59,All Other,TX,1996,45.0
60,All Other,TX,1997,23.8
61,All Other,TX,1999,11.7
62,All Other,TX,2005,5.0
63,All Other,TX,2015,15.4
64,All Other,UT,1995,31.8
65,All Other,UT,2016,9.5
66,All Other,WI,1928,7.5
67,All Other,WI,1976,5.0
68,All Other,WI,1995,8.3
69,All Other,WY,1986,11.5
70,All Other,WY,2018,0.9
71,Batteries,AK,2003,40.0
72,Batteries,AK,2012,3.0
73,Batteries,AK,2015,1.2
74,Batteries,AL,2017,1.0
75,Batteries,AZ,2017,20.0
76,Batteries,AZ,2018,12.0
77,Batteries,CA,2012,4.0
78,Batteries,CA,2013,6.0
79,Batteries,CA,2014,2.0
80,Batteries,CA,2015,5.5
81,Batteries,CA,2016,102.0
82,Batteries,CA,2017,42.0
83,Batteries,CA,2018,72.1
84,Batteries,CO,2017,1.0
85,Batteries,CO,2018,4.0
86,Batteries,CT,2016,0.8
87,Batteries,CT,2017,0.8
88,Batteries,FL,2018,14.0
89,Batteries,GA,2015,1.0
90,Batteries,HI,2012,21.0
