year,nameplate_cap,summer_cap,num_facilities,num_generators,state,tot_nameplate_cap,tot_summer_cap,tot_num_gen,tot_num_facilities,tot_cap_change,tot_cap_growth_rate,p_nameplate_cap,p_summer_cap,cap_change,cap_growth_rate,energy_source
1991,114,112,0,0,AK,2047,1811.4,0,147,-23,-1.1235955056179776,0.05569125549584758,0.06183062824334768,-5,-0.043859649122807015,Coal
1992,114,110,0,0,AK,2184,1953.1,0,160,137,6.272893772893773,0.0521978021978022,0.05632072090522759,0,0,Coal
1993,114,110,0,0,AK,2223.6,1989.1,0,196,39.59999999999991,1.7808958445763585,0.05126821370750135,0.0553013925896134,0,0,Coal
1994,114,110,0,0,AK,2253.2,2021.3,0,197,29.59999999999991,1.313687200426057,0.050594709746138826,0.054420422500371046,0,0,Coal
1995,114,110,0,0,AK,2236.6,2009.3,0,196,-16.59999999999991,-0.7421979790753782,0.05097022265939372,0.0547454337331409,0,0,Coal
1996,114,110,0,0,AK,2239.7,2011.6,0,194,3.099999999999909,0.13841139438317226,0.05089967406349065,0.05468283953072182,0,0,Coal
1997,114,110,0,0,AK,2257.2,2028,0,201,17.5,0.7752968279284069,0.05050505050505051,0.054240631163708086,0,0,Coal
1998,114.5,108.4,0,0,AK,2257.4,2021.4,0,202,0.20000000000027285,0.008859750155057715,0.050722069637636216,0.05362619966359949,0.5,0.004366812227074236,Coal
1999,114.5,108.2,0,0,AK,2258.2,2022.4,0,202,0.7999999999997272,0.03542644584180884,0.050704100611106195,0.05350079113924051,0,0,Coal
2000,115,108,0,0,AK,2328,2108,0,204,69.80000000000018,2.9982817869415883,0.04939862542955326,0.051233396584440226,0.5,0.004347826086956522,Coal
2001,115,85,0,0,AK,2278,2075,0,132,-50,-2.194907813871817,0.0504828797190518,0.04096385542168675,0,0,Coal
2002,118,85,0,0,AK,2244,2006,0,130,-34,-1.5151515151515151,0.05258467023172905,0.0423728813559322,3,0.025423728813559324,Coal
2003,118,85,0,0,AK,2126,1895,0,127,-118,-5.550329256820319,0.055503292568203196,0.044854881266490766,0,0,Coal
2004,118,85,0,0,AK,2016,1851,0,117,-110,-5.4563492063492065,0.05853174603174603,0.045921123716909776,0,0,Coal
2005,118,105,0,0,AK,2035,1890,0,117,19,0.9336609336609337,0.057985257985257985,0.05555555555555555,0,0,Coal
2006,118,105,0,0,AK,2049,1884,0,117,14,0.6832601268911664,0.05758906783796974,0.05573248407643312,0,0,Coal
2007,118,105,0,0,AK,2163,1961,0,116,114,5.270457697642163,0.0545538603791031,0.05354411014788373,0,0,Coal
2008,118,112,5,0,AK,2190,1995,0,136,27,1.2328767123287672,0.053881278538812784,0.056140350877192984,0,0,Coal
2009,116,111,5,0,AK,2212,2012,0,137,22,0.9945750452079566,0.05244122965641953,0.055168986083499,-2,-0.017241379310344827,Coal
2010,116,111,5,0,AK,2261,2067,0,138,49,2.1671826625387,0.0513047324192835,0.05370101596516691,0,0,Coal
2011,116,110.5,5,0,AK,2261.2,2066.5,0,124,0.1999999999998181,0.008844861135672125,0.051300194586944986,0.053472054197919186,0,0,Coal
2012,116,110.5,5,0,AK,2322.1,2118.5,0,130,60.90000000000009,2.622626071228633,0.04995478230911675,0.052159546849185744,0,0,Coal
2013,113.5,110.5,5,0,AK,2589.8,2384,0,131,267.7000000000003,10.336705537107123,0.04382577805235925,0.046350671140939596,-2.5,-0.022026431718061675,Coal
2014,113.5,106.1,5,0,AK,2702.2,2464.2,0,132,112.39999999999964,4.159573680704598,0.042002812523129304,0.04305657008359711,0,0,Coal
2015,113.5,103.8,5,0,AK,2806.8,2589.1,0,141,104.60000000000036,3.7266638164457877,0.040437508906940284,0.040091151365339306,0,0,Coal
2016,175.5,153.8,5,0,AK,3010.3,2742.4,0,145,203.5,6.760123575723349,0.05829983722552569,0.05608226371061844,62,0.35327635327635326,Coal
2017,175.5,152.8,5,0,AK,3020.4,2748.7,0,147,10.099999999999909,0.33439279565620145,0.05810488676996424,0.05558991523265545,0,0,Coal
