,state,year,residential_price,perc_residential_rev,perc_commercial_rev,perc_industrial_rev
0,AK,2009,17.18166667,0.380929457,0.435572042,0.183499526
1,AK,2010,16.29083333,0.366902121,0.4292827,0.203815213
2,AK,2011,17.70833333,0.368021743,0.425756087,0.206221323
3,AK,2012,17.95416667,0.366593363,0.411022013,0.222382587
4,AK,2013,18.18583333,0.366970305,0.426814538,0.206215169
5,AK,2014,19.29166667,0.362281672,0.439177941,0.198540379
6,AK,2015,19.91916667,0.372469596,0.445534527,0.181995905
7,AK,2016,20.36833333,0.369281749,0.438067339,0.19265092
8,AK,2017,21.335,0.36872061,0.433918802,0.197360615
9,AK,2018,22.00583333,0.373068537,0.425963237,0.200968254
10,AK,2019,22.9925,0.371610761,0.450103443,0.178285762
11,AK,2020,22.48,0.42758676,0.404943895,0.167469345
12,AL,2009,10.64416667,0.454922138,0.302949329,0.242129025
13,AL,2010,10.71416667,0.464935645,0.291424356,0.24363993
14,AL,2011,11.1025,0.447843698,0.289956816,0.26219943
15,AL,2012,11.385,0.438192125,0.294394712,0.267412797
16,AL,2013,11.255,0.444499916,0.300738788,0.254761297
17,AL,2014,11.51166667,0.448457607,0.29618294,0.255359457
18,AL,2015,11.7125,0.446616857,0.308181392,0.245201753
19,AL,2016,12.015,0.451559732,0.3128228,0.23561747
20,AL,2017,12.56166667,0.444329999,0.311933065,0.243736938
21,AL,2018,12.21166667,0.46004024,0.304464947,0.235494821
22,AL,2019,12.62833333,0.471967675,0.301045195,0.226987132
23,AL,2020,12.39,0.486682891,0.288943663,0.224373432
24,AR,2009,9.1375,0.471554587,0.266803333,0.261626045
25,AR,2010,8.889166667,0.480167431,0.255910407,0.263908283
26,AR,2011,9.015833333,0.470005859,0.257474333,0.272506621
27,AR,2012,9.265,0.461188276,0.263371121,0.275425435
28,AR,2013,9.590833333,0.46957672,0.259189251,0.271220885
29,AR,2014,9.570833333,0.469417142,0.259785006,0.270785316
30,AR,2015,9.853333333,0.467796815,0.267403575,0.264786644
31,AR,2016,9.915,0.465728208,0.268765199,0.26549479
32,AR,2017,10.26916667,0.457210182,0.267265506,0.275511764
33,AR,2018,9.815833333,0.485502754,0.247783187,0.266701022
34,AR,2019,9.803333333,0.469283648,0.265108145,0.265595642
35,AR,2020,9.84,0.544070534,0.23491154,0.221007465
36,AZ,2009,10.56666667,0.489986267,0.39950165,0.110512389
37,AZ,2010,10.75916667,0.49139782,0.396423292,0.112179134
38,AZ,2011,10.9125,0.491448069,0.393120301,0.115431892
39,AZ,2012,11.12583333,0.493354569,0.392183702,0.114461627
40,AZ,2013,11.56416667,0.493946514,0.393257691,0.112795803
41,AZ,2014,11.74083333,0.483855077,0.390044117,0.126100805
42,AZ,2015,11.97416667,0.49090463,0.387927277,0.121093594
43,AZ,2016,12.02666667,0.494803691,0.388423666,0.116681087
44,AZ,2017,12.33166667,0.504549234,0.384168585,0.111190555
45,AZ,2018,12.705,0.509646025,0.378461191,0.111795555
46,AZ,2019,12.51916667,0.517226804,0.375511967,0.1071303
47,AZ,2020,11.68,0.523773688,0.367366158,0.108712411
48,CA,2009,14.665,0.386834682,0.465643078,0.145428989
49,CA,2010,14.73166667,0.385880736,0.468492504,0.143582501
50,CA,2011,14.74166667,0.384027381,0.466144657,0.147835409
51,CA,2012,15.27,0.394689867,0.463101219,0.140780413
52,CA,2013,16.1775,0.389322302,0.443121365,0.165607278
53,CA,2014,16.08916667,0.363873103,0.470535495,0.163675958
54,CA,2015,16.88166667,0.376758935,0.462879122,0.158438965
55,CA,2016,17.23916667,0.390447465,0.452946678,0.154593847
56,CA,2017,18.1575,0.397780918,0.451431425,0.148992465
57,CA,2018,18.725,0.394214663,0.44931218,0.154898671
58,CA,2019,19.17666667,0.398920715,0.449968112,0.14944289
59,CA,2020,19.94,0.466430186,0.409833669,0.122135217
60,CO,2009,9.976666667,0.410044627,0.384766684,0.204349073
61,CO,2010,11.01833333,0.412270401,0.370109053,0.216718704
62,CO,2011,11.22833333,0.409035238,0.375021642,0.214944202
63,CO,2012,11.4075,0.411982389,0.373517035,0.213477949
64,CO,2013,11.895,0.417210502,0.37607769,0.205471387
65,CO,2014,12.15833333,0.409715978,0.378506452,0.210475958
66,CO,2015,12.10083333,0.412663024,0.375660496,0.210462128
67,CO,2016,12.03916667,0.420144939,0.371470553,0.207192181
68,CO,2017,12.145,0.412026069,0.373333088,0.213318657
69,CO,2018,12.1225,0.412705584,0.372908347,0.212889105
70,CO,2019,12.20333333,0.418074534,0.372350819,0.207789397
71,CO,2020,11.74,0.441047226,0.350940584,0.206298626
72,CT,2009,20.38083333,0.474799991,0.417557176,0.103457882
73,CT,2010,19.3,0.473862532,0.419415409,0.102615685
74,CT,2011,18.1375,0.477560542,0.41847554,0.100048495
75,CT,2012,17.385,0.48060221,0.416149436,0.099130266
76,CT,2013,17.61416667,0.491637151,0.409268721,0.094868866
77,CT,2014,19.81583333,0.502318402,0.401963575,0.091325751
78,CT,2015,20.98333333,0.51217986,0.397346509,0.085659312
79,CT,2016,20.1175,0.506460242,0.40242047,0.087113233
80,CT,2017,20.35583333,0.507316379,0.402297067,0.086447287
81,CT,2018,21.27166667,0.518362662,0.393070097,0.084201375
82,CT,2019,22.00833333,0.521644112,0.396005031,0.077673083
83,CT,2020,21.93,0.557997801,0.364043368,0.072654779
84,DE,2009,14.1475,0.441449432,0.368225332,0.190324424
85,DE,2010,13.905,0.468428311,0.355863141,0.175709414
86,DE,2011,13.77083333,0.477269307,0.345789846,0.176939275
87,DE,2012,13.65166667,0.477275823,0.339280974,0.183442364
88,DE,2013,13.05416667,0.475794372,0.344180276,0.18002538
89,DE,2014,13.41,0.482184642,0.347951312,0.169864059
90,DE,2015,13.56416667,0.501299077,0.33971155,0.158989389
91,DE,2016,13.53333333,0.508948309,0.343473666,0.14757804
92,DE,2017,13.43166667,0.511098542,0.34210728,0.146794154
93,DE,2018,12.62666667,0.509908207,0.338409333,0.151682487
94,DE,2019,12.785,0.524077393,0.361981156,0.113941459
95,DE,2020,12.17,0.543312414,0.336555113,0.120132473
96,FL,2009,12.39916667,0.551098765,0.386820189,0.061735869
97,FL,2010,11.4575,0.56904905,0.367318765,0.063329505
98,FL,2011,11.49666667,0.556511346,0.381835487,0.061331301
99,FL,2012,11.4175,0.552593673,0.389092495,0.058000563
100,FL,2013,11.265,0.560491118,0.383667588,0.055487312
101,FL,2014,11.87916667,0.566562249,0.378913219,0.054160259
102,FL,2015,11.58,0.572972955,0.370097921,0.056580931
103,FL,2016,10.9825,0.576269417,0.367423384,0.055961908
104,FL,2017,11.6,0.576860063,0.368536353,0.054291709
105,FL,2018,11.55416667,0.585103343,0.36091345,0.053702711
106,FL,2019,11.96666667,0.587188233,0.36265822,0.049869622
107,FL,2020,11.73,0.577209769,0.368502017,0.053984282
108,GA,2009,10.06916667,0.47919593,0.361696812,0.158005203
109,GA,2010,10.01083333,0.489185474,0.35262333,0.157144727
110,GA,2011,10.965,0.478675048,0.358846429,0.161435663
111,GA,2012,11.06583333,0.482654865,0.362389275,0.153971134
112,GA,2013,11.38916667,0.481353915,0.360595135,0.157053912
113,GA,2014,11.60916667,0.48526512,0.357446533,0.156447977
114,GA,2015,11.4225,0.492011892,0.361219275,0.146085255
115,GA,2016,11.40166667,0.495687374,0.358998544,0.144655865
116,GA,2017,11.82083333,0.492195782,0.359067052,0.148044801
117,GA,2018,11.40583333,0.503714288,0.347934044,0.14765335
118,GA,2019,11.35166667,0.511596978,0.348855433,0.138844962
119,GA,2020,10.9,0.527484823,0.344778445,0.127148551
120,HI,2009,24.15166667,0.344727276,0.344887449,0.310385654
121,HI,2010,28.09333333,0.334114479,0.345634133,0.320252199
122,HI,2011,34.69916667,0.323380893,0.346451166,0.330167823
123,HI,2012,37.35916667,0.311866567,0.344260489,0.343873546
124,HI,2013,36.97833333,0.305303659,0.352393744,0.342302594
125,HI,2014,37.05,0.302267324,0.345844244,0.351888442
126,HI,2015,29.67166667,0.313844107,0.344013634,0.342142263
127,HI,2016,27.45,0.318012196,0.340388712,0.341599098
128,HI,2017,29.52583333,0.319352868,0.339683606,0.340963531
129,HI,2018,32.455,0.322989533,0.332999101,0.344011377
130,HI,2019,32.19833333,0.326549856,0.328234122,0.345216022
131,HI,2020,31.7,0.341791398,0.314642078,0.343566524
132,IA,2009,10.0775,0.425327271,0.275069538,0.299603502
133,IA,2010,10.47166667,0.433596804,0.274144808,0.292258804
134,IA,2011,10.5,0.431677838,0.275848562,0.292473371
135,IA,2012,10.81166667,0.426134324,0.278458027,0.295406901
136,IA,2013,11.07583333,0.427255731,0.27883927,0.293905001
137,IA,2014,11.2425,0.417080376,0.278652019,0.304267607
138,IA,2015,11.67166667,0.405783997,0.274590516,0.319625497
139,IA,2016,11.94083333,0.404363019,0.273748094,0.321888886
140,IA,2017,12.345,0.396216644,0.269942155,0.333841204
141,IA,2018,12.26333333,0.397776064,0.264511963,0.337711973
142,IA,2019,12.99333333,0.392792023,0.270589689,0.336618291
143,IA,2020,11.72,0.442627708,0.264827368,0.292544898
144,ID,2009,7.821666667,0.453418742,0.265177326,0.281404988
145,ID,2010,8.011666667,0.439098003,0.263649741,0.297253466
146,ID,2011,7.894166667,0.44460752,0.258211822,0.297179987
147,ID,2012,8.68,0.43792914,0.253729359,0.308341524
148,ID,2013,9.365,0.445027373,0.255573542,0.299399069
149,ID,2014,9.776666667,0.436018077,0.262603693,0.301378228
150,ID,2015,9.985,0.434156281,0.265728329,0.300115386
151,ID,2016,10.00166667,0.441974264,0.26570493,0.292320809
152,ID,2017,10.095,0.452433254,0.265265029,0.282301718
153,ID,2018,10.1725,0.446403178,0.266899741,0.286697099
154,ID,2019,9.939166667,0.46046283,0.264135062,0.27540209
155,ID,2020,9.91,0.566152476,0.255627177,0.178220347
156,IL,2009,11.33,0.398281355,0.364588693,0.233601475
157,IL,2010,11.54333333,0.417962724,0.348065924,0.231054422
158,IL,2011,11.85833333,0.428885726,0.341732707,0.226616198
159,IL,2012,11.49,0.438710556,0.338609742,0.219830413
160,IL,2013,10.67,0.419586786,0.351690428,0.226106518
161,IL,2014,11.99666667,0.412269006,0.354425564,0.230274396
162,IL,2015,12.58083333,0.426538961,0.349251185,0.221453661
163,IL,2016,12.61666667,0.43222765,0.348667317,0.216460091
164,IL,2017,13.04,0.432602002,0.349983864,0.214858571
165,IL,2018,12.82916667,0.43822091,0.339021585,0.220020199
166,IL,2019,12.95333333,0.445747962,0.343858353,0.207344042
167,IL,2020,12.52,0.45326839,0.337963295,0.202869899
168,IN,2009,9.576666667,0.406659263,0.26083682,0.332249309
169,IN,2010,9.67,0.408650914,0.251537052,0.339586661
170,IN,2011,10.14166667,0.399344648,0.249898091,0.350516233
171,IN,2012,10.60916667,0.395296955,0.252089125,0.352389608
172,IN,2013,11.05916667,0.397604612,0.253150982,0.349015883
173,IN,2014,11.56,0.396698647,0.24868021,0.354404871
174,IN,2015,11.64666667,0.396749444,0.250491867,0.352536251
175,IN,2016,11.86416667,0.404461197,0.254151957,0.341170232
176,IN,2017,12.35166667,0.39916771,0.258223625,0.342375166
177,IN,2018,12.30166667,0.415766889,0.253529633,0.330484223
178,IN,2019,12.355,0.419049255,0.268493294,0.312224406
179,IN,2020,11.91,0.461790139,0.263388708,0.274573172
180,KS,2009,9.535833333,0.406893516,0.388937851,0.204168382
181,KS,2010,10.0025,0.41771713,0.380860116,0.201424024
182,KS,2011,10.58583333,0.412754958,0.382430494,0.20481362
183,KS,2012,11.16666667,0.403581486,0.383385938,0.213032492
184,KS,2013,11.62416667,0.404894032,0.382770517,0.212335455
185,KS,2014,12.19416667,0.40053386,0.379491673,0.219974466
186,KS,2015,12.39166667,0.399054606,0.386580307,0.214365089
187,KS,2016,13.0925,0.404684831,0.391441132,0.203874035
188,KS,2017,13.30833333,0.40057898,0.392670333,0.206750682
189,KS,2018,13.33166667,0.415667937,0.384489255,0.199842814
190,KS,2019,12.705,0.415411082,0.389267242,0.195321679
