,energy_source,state,funded,tot_funded
0,Combined Heat & Power,CA,2113014.0,7045617836.0
1,Fuel Cell,CA,127560094.0,7045617836.0
2,Geothermal,CA,251580028.0,7045617836.0
3,Hydroelectric,CA,20191417.0,7045617836.0
4,Marine,CA,462467.0,7045617836.0
5,Microturbine,CA,45650.0,7045617836.0
6,Other Biomass,CA,27216469.0,7045617836.0
7,Other Gases,CA,67024848.0,7045617836.0
8,Solar Thermal and Photovoltaic,CA,4929747054.0,7045617836.0
9,Trash Facility,CA,5859975.0,7045617836.0
10,Wind,CA,1613816820.0,7045617836.0
11,Combined Heat & Power,CT,3370415.0,141449950.0
12,Fuel Cell,CT,3685036.0,141449950.0
13,Geothermal,CT,34372.0,141449950.0
14,Hydroelectric,CT,47905.0,141449950.0
15,Other Biomass,CT,79538962.0,141449950.0
16,Solar Thermal and Photovoltaic,CT,51425091.0,141449950.0
17,Wind,CT,3348169.0,141449950.0
18,Combined Heat & Power,FL,12500.0,381374837.0
19,Geothermal,FL,76918.0,381374837.0
20,Microturbine,FL,139446.0,381374837.0
21,Other Biomass,FL,139802088.0,381374837.0
22,Other Gases,FL,1755944.0,381374837.0
23,Solar Thermal and Photovoltaic,FL,232083083.0,381374837.0
24,Trash Facility,FL,7260707.0,381374837.0
25,Wind,FL,244151.0,381374837.0
26,Combined Heat & Power,IL,345436.0,1260238254.0
27,Fuel Cell,IL,1598135.0,1260238254.0
28,Geothermal,IL,2155185.0,1260238254.0
29,Other Gases,IL,2861145.0,1260238254.0
30,Solar Thermal and Photovoltaic,IL,26999777.0,1260238254.0
31,Wind,IL,1226278576.0,1260238254.0
32,Combined Heat & Power,IN,45277.0,372935426.0
33,Geothermal,IN,12912.0,372935426.0
34,Other Biomass,IN,10633525.0,372935426.0
35,Solar Thermal and Photovoltaic,IN,16201326.0,372935426.0
36,Wind,IN,346042386.0,372935426.0
37,Combined Heat & Power,LA,1032496.0,31288918.0
38,Fuel Cell,LA,428700.0,31288918.0
39,Other Biomass,LA,3610290.0,31288918.0
40,Solar Thermal and Photovoltaic,LA,26212438.0,31288918.0
41,Wind,LA,4994.0,31288918.0
42,Combined Heat & Power,MA,705432.0,422410574.0
43,Geothermal,MA,295966.0,422410574.0
44,Hydroelectric,MA,18495905.0,422410574.0
45,Other Biomass,MA,10677911.0,422410574.0
46,Other Gases,MA,1726933.0,422410574.0
47,Solar Thermal and Photovoltaic,MA,346769084.0,422410574.0
48,Trash Facility,MA,1652611.0,422410574.0
49,Wind,MA,42086732.0,422410574.0
50,Combined Heat & Power,NC,27107.0,328378045.0
51,Fuel Cell,NC,1618740.0,328378045.0
52,Geothermal,NC,41242.0,328378045.0
53,Hydroelectric,NC,87642027.0,328378045.0
54,Other Biomass,NC,7525808.0,328378045.0
