,year,month,state,residential_price,perc_residential_rev,perc_commercial_rev,perc_industrial_rev
11628,2009,1,AK,17.39,0.45275169754380085,0.40201399949702404,0.1452343029591751
11629,2009,1,AL,10.57,0.48260117818070536,0.2883543722745008,0.22904444954479383
11630,2009,1,AR,8.68,0.5210183478915715,0.24046600243620578,0.23849829777930476
11631,2009,1,AZ,9.51,0.4972742340662471,0.38580486710002676,0.11692089883372613
11632,2009,1,CA,14.7,0.45489192554664487,0.41095860708168,0.13189985224558828
11633,2009,1,CO,9.21,0.45476856835306784,0.3502721820698139,0.19409810856527757
11634,2009,1,CT,19.65,0.5083405524887634,0.38920312178294364,0.09739255760109083
11636,2009,1,DE,13.21,0.47182851208113147,0.334881021474173,0.19328282982557962
11637,2009,1,FL,12.58,0.5427631912848074,0.3894028896288609,0.06746463126562767
11638,2009,1,GA,9.48,0.49730699635682146,0.3508265814706809,0.15073752150767813
11639,2009,1,HI,25.76,0.36261954059650015,0.32907519231912813,0.3083052670843717
11640,2009,1,IA,8.58,0.5057699255470626,0.25600546885515324,0.23822460559778413
11641,2009,1,ID,7.06,0.5571587395619466,0.26137940548743377,0.18145373984597532
11642,2009,1,IL,10.79,0.4284373338304032,0.3462951513219923,0.2206016598028308
11643,2009,1,IN,8.78,0.47598996595592186,0.239643993012005,0.284074874574449
11644,2009,1,KS,8.07,0.4354413287877454,0.3667417275750295,0.1978211369840611
11645,2009,1,KY,8.17,0.4430422336534188,0.2201842785661465,0.33677348778043464
11646,2009,1,LA,8.73,0.42530923303159,0.31468046735944266,0.25988302307229894
11647,2009,1,MA,18.19,0.43360002674096837,0.316944939868635,0.24584977783507986
11648,2009,1,MD,14.38,0.5402715368779445,0.3994244625677976,0.053094936458292094
11649,2009,1,ME,16.21,0.5017546152589446,0.3296454827642542,0.16859990197680116
11650,2009,1,MI,10.83,0.45675460918719385,0.361934349885839,0.18123057502942033
11651,2009,1,MN,9.29,0.4842947885025838,0.3096438050364034,0.20575680246750536
11652,2009,1,MO,7.17,0.551651161854134,0.318780959284765,0.12935443598727397
11653,2009,1,MS,9.93,0.4645303070823111,0.29196365243072914,0.24350604048695976
11654,2009,1,MT,8.51,0.44914002701485817,0.3144799639801891,0.23638000900495273
11655,2009,1,NC,9.39,0.5674174046762106,0.31739205122845215,0.11515122038044659
11656,2009,1,ND,6.57,0.47401019403561684,0.337225677006094,0.18875166681205838
11657,2009,1,NE,6.98,0.4707247980657617,0.32335340145669317,0.2059278149001305
11658,2009,1,NH,16.26,0.48042336411026976,0.37891878711191074,0.1406578487778195
11659,2009,1,NJ,15.71,0.44760721884640164,0.46167344478030004,0.08673119513716099
11660,2009,1,NM,9.49,0.40541735067559037,0.38916249245836315,0.2054201568660465
11661,2009,1,NV,12.22,0.4591086897993443,0.268022583659313,0.2726390890518347
11662,2009,1,NY,16.86,0.40639353781462834,0.5305782847931992,0.04397493655416601
11663,2009,1,OH,9.4,0.46955965282876533,0.29833547044539244,0.2316672456077713
11664,2009,1,OK,7.51,0.5098890651798275,0.3049422843451505,0.185168650475022
11665,2009,1,OR,8.32,0.5539549684054955,0.29675308027567904,0.14884254022832497
11666,2009,1,PA,10.8,0.5062172827024971,0.29508317413476814,0.1940287065941981
11667,2009,1,RI,17.46,0.4549238168007551,0.4411434221762776,0.10393276102296732
11668,2009,1,SC,10.05,0.5141851144457432,0.27240181222914567,0.2134130733251111
11669,2009,1,SD,7.63,0.5301254903998545,0.3402010964171581,0.12967341318298733
11670,2009,1,TN,9.59,0.506083618834854,0.29589827399649654,0.19799936527451878
11671,2009,1,TX,12.6,0.4739571485670253,0.3164389259783719,0.2094049270909999
11672,2009,1,UT,7.94,0.42934220103233905,0.34873161187790885,0.22041707566257338
11673,2009,1,VA,9.99,0.5345403526821149,0.35575271985183515,0.1081415830322988
11674,2009,1,VT,14.25,0.4944485123806393,0.3295177752207893,0.1760337123985714
11675,2009,1,WA,7.54,0.5444980655836098,0.3123389000186548,0.14315005718086185
11676,2009,1,WI,12.02,0.46901306646308333,0.33050077105505044,0.20048616248186624
