,Business Name,Funded
55,Arizona Solar One LLC,513753359.0
1112,Mojave Solar LLC,376800248.0
863,"Genesis Solar, LLC",327880201.0
937,High Plains Ranch II LLC,285012000.0
763,Desert Sunlight 300,283007075.0
7035,"Tonopah Solar Energy, LLC",275649689.0
9779,"Puget Sound Energy, Inc.",233935991.0
762,Desert Sunlight 250,231947219.0
9784,"Windy Flats Partners, LLC",218482326.0
961,"Imperial Valley Solar 1, LLC",203386804.0
1676,"Solar Partners VIII, LLC",180911450.0
1674,"Solar Partners I, LLC",180713098.0
9480,Texas Gulf Wind LLC,178004264.0
692,"Centinela Solar Energy, LLC",176963585.0
1675,"Solar Partners II, LLC",174080773.0
7935,Blue Creek Wind Farm LLC,172489710.0
3505,Streator-Cayuga Ridge Wind Power LLC,169991233.0
8162,"South Hurlburt Wind, LLC",169477450.0
8152,"Horseshoe Bend Wind, LLC",169276387.0
223,"Mesquite Solar 1, LLC",163755627.0
1084,"McCoy Solar, LLC",160923892.0
8155,"North Hurlburt Wind, LLC",152795960.0
2222,"Cedar Point Wind, LLC",145596213.0
3491,"Big Sky Wind, LLC",143898753.0
7032,"Silver States Solar Power South, LLC",141886849.0
3497,"FPL Energy Illinois Wind, LLC",137256969.0
740,"CSOLAR IV South, LLC",132962562.0
4884,Lakefield Wind Project LLC,132043560.0
1731,Manzana Wind LLC,129879212.0
3495,California Ridge Wind Energy LLC,127699997.0
58,"Arlington Valley Solar Energy II, LLC",125064377.0
2750,Florida Power & Light Company,123767270.0
9458,E.ON Climate & Renewables North America Inc.,121903306.0
7694,"Marble River, LLC",120242739.0
9533,"Milford Wind Corridor Phase I, LLC",120147810.0
462,ORNI 18 LLC,119564403.0
1195,Pacific Gas & Electric Company,117381092.0
3492,Bishop Hill Energy LLC,117216098.0
2459,"Gainesville Renewable Energy Center, LLC",116828699.0
3493,Blackstone Wind Farm II LLC,116472864.0
9459,"EC&R Papalote Creek I, LLC",116348639.0
1736,Ocotillo Express LLC,115890946.0
3551,Meadow Lake Wind Farm LLC,113181518.0
9473,Penascal Wind Power LLC,113139277.0
741,"CSOLAR IV West, LLC",112796450.0
8154,"Leaning Juniper Wind Power II, LLC",110938184.0
10011,Top of the World Wind Energy LLC,110725419.0
5069,"Lost Creek Wind, LLC",108775260.0
9472,Penascal II Wind Project LLC,108761549.0
9455,Cedro Hill,108197943.0
8189,"PPL Holtwood, LLC",108156436.0
9720,"Puget Sound Energy, Inc.",107875804.0
9064,Buffalo Ridge II LLC,107817494.0
9471,"Panther Creek Wind Farm, LLC",107636117.0
9470,"Notrees Windpower, LP",103561627.0
9460,"EC&R Papalote Creek II, LLC",102431166.0
460,Hudson Ranch Power I LLC,102086944.0
1735,"North Sky River Energy, LLC",100923890.0
2225,"Northern Colorado Wind Energy, LLC",99900326.0
3587,"Caney River Wind Project, LLC",99246721.0
3507,"White Oak Energy, LLC",98706750.0
4881,"Elm Creek Wind II, LLC",95537720.0
9464,"Inadale Wind Farm, LLC",94162413.0
3298,Barton Windpower LLC,93415941.0
9468,"Loraine Windpark Project, LLC",93020610.0
9777,Juniper Canyon Wind Power LLC,92703899.0
6981,Patua Project LLC,92573667.0
9454,Bull Creek Wind LLC,91390497.0
683,"Catalina Solar, LLC",89603820.0
9068,"PrairieWinds SD 1, Inc.",87923745.0
7961,Dempsey Ridge Wind Farm LLC,87873803.0
1733,"Mustang Hills, LLC",86905263.0
5067,"Farmers City Wind, LLC",84721608.0
9465,"Langford Wind Power, LLC",84201645.0
1715,"Alta Wind VIII, LLC",84117894.0
1737,"Pacific Wind, LLC",83313235.0
1744,Windstar Energy LLC,82467693.0
3311,"Garden Wind, LLC",82016590.0
10006,"AES Laurel Mountain, LLC",81965141.0
7699,"Noble Wethersfield Windpark, LLC",81776684.0
5319,"Burgess BioPower, LLC",80649000.0
9453,"Bobcat Bluff Wind Project, LLC",80535223.0
9534,"Milford Wind Corridor Phase II, LLC",80436803.0
7045,Spring Valley Wind LLC,79910448.0
2227,"Plainfield Renewable Energy, LLC",79538962.0
7967,"Taloga Wind, LLC",78346081.0
3396,Goshen Phase II LLC,78055029.0
2375,"Diamond State Generation Partners, LLC",77613975.0
9786,Wisconsin Electric Power Company,76272596.0
434,"Bloom Energy 2009 PPA Project Company, LLC",74494221.0
7003,"Copper Mountain Solar 2, LLC",74207365.0
5296,Rugby Wind LLC,73060483.0
9451,"Barton Chapel Wind, LLC",72501181.0
5295,"PrairieWinds ND 1, Inc.",72359733.0
7698,"Noble Chateaugay Windpark, LLC",71840780.0
3547,"Hoosier Wind Project,LLC",69555205.0
8979,"AES Armenia Mountain Wind, LLC",69460892.0
4651,Consumers Energy Company,69199070.0
3343,Wisconsin Public Service Corporation,68976084.0
4656,"Tuscola Bay Wind, LLC",68668791.0
10007,Beech Ridge Energy LLC,68609459.0
1424,Southern California Edison,68361370.0
7697,"Noble Altona Windpark, LLC",67804589.0
3496,EcoGrove Wind LLC,67583980.0
4652,Gratiot County Wind LLC,67098936.0
1160,NRG Solar Alpine LLC,66408438.0
1740,Solano 3 Wind LLC,66201376.0
6976,NGP Blue Mountain I LLC,65741725.0
8980,"Big Savage, LLC",65408684.0
3310,Franklin County Wind LLC,62425369.0
2547,Florida Power & Light Company,62371777.0
5105,"NaturEner Glacier Wind Energy 2, LLC",62249825.0
7962,"Elk City II Wind, LLC",61880803.0
3504,"Rail Splitter Wind Farm, LLC",61851909.0
9776,Harvest Wind,60755706.0
9783,Vantage Wind Energy LLC,60682795.0
9477,South Trent Wind LLC,59494413.0
3549,Meadow Lake Wind Farm III LLC,59303557.0
8985,"Locust Ridge II, LLC",59070509.0
3175,"Kawailoa Wind, LLC",58458629.0
6968,"Red Mesa Wind, LLC",58412982.0
1371,"Sequoia Pacific Solar I, LLC",58165632.0
1739,"Shiloh IV Wind Project, LLC",58131301.0
9003,Pattern Santa Isabel LLC,57554950.0
5315,Laredo Ridge Wind,57491721.0
2789,Packaging Corporation of America,57398240.0
9778,"Palouse Wind, LLC",57309032.0
5358,"Granite Reliable Power, LLC",56201202.0
3502,"GSG6, LLC",56013688.0
5292,"Baldwin Wind, LLC",55979118.0
1718,Coram California Development LP,55634765.0
3494,"Blackstone Wind Farm, LLC",55613939.0
5086,"PPL Montana, LLC",55612423.0
3326,Lost Lakes Wind Farm LLC,55544888.0
7940,Paulding Wind Farm II LLC,55369480.0
3548,Meadow Lake Wind Farm II LLC,55212505.0
1741,"Vasco Winds, LLC",54969957.0
8150,"FPL Energy Stateline II, Inc",54857251.0
7031,"Silver State Solar Power North, LLC",54633872.0
9065,"Day County Wind, LLC",54518743.0
7689,Hardscrabble Wind Power LLC,54125161.0
7966,"Minco Wind, LLC",54066194.0
6966,"High Lonesome Mesa, LLC",53632975.0
9780,"Sagebrush Power Partners, LLC",53420192.0
4508,"Evergreen Wind Power III, LLC",53246347.0
7684,"Canandaigua Power Partners, LLC",52352334.0
407,"Perrin Ranch Wind, LLC",51684962.0
562,"Alpaugh 50, LLC",51589594.0
7963,Elk City Wind,50248277.0
1734,"NextEra Energy Montezuma II Wind, LLC",50101558.0
2790,"Piedmont Green Power, LLC",49530065.0
5121,"Duke Energy Carolinas, LLC",49395049.0
3402,Meadow Creek Project Company LLC,48969923.0
3550,Meadow Lake Wind Farm IV LLC,48780848.0
8167,Wheat Field Wind Power Project LLC,47717155.0
9462,"Golden Spread Panhandle Wind Ranch, LLC",47283646.0
8151,Hay Canyon Wind LLC,46961620.0
6978,ORNI 39 LLC,46939885.0
7964,"KODE Novus I, LLC",46611570.0
8163,Star Point Wind Project LLC,46429627.0
8159,Pebble Springs Wind LLC,46375566.0
7432,Long Island Solar Farm LLC,45227568.0
3330,New Harvest Wind Project LLC,45219027.0
5314,Flat Water Wind Farm LLC,44782864.0
4514,TransCanada Maine Wind Development Inc.,44591705.0
10008,"Pinnacle Wind, LLC",44184807.0
9536,South Boston Energy LLC,44088504.0
4477,TransCanada Maine Wind Development Inc.,43946534.0
8984,"Laurel Hill Wind Energy, LLC",43224531.0
3409,Rockland Wind Farm LLC,43190991.0
8983,Krayn Wind LLC,42204562.0
3332,Pocahontas Prairie Wind LLC,41336886.0
6975,"Enel Stillwater, LLC",40783663.0
4509,"Evergreen Wind Power V, LLC",40441471.0
1728,Hatchet Ridge Wind 2010-A,40155488.0
1729,Hatchet Ridge Wind 2010-B,40155488.0
9483,"Thermo No. 1 BE-01, LLC",39583995.0
8168,Evergreen Community Power LLC,39226475.0
4463,Criterion Power Partners LLC,39147263.0
8147,Eurus Combine Hills II LLC,39133973.0
9535,MeadWestvaco Virginia Corporation,38881758.0
9461,"Goat Wind, LP",38499056.0
9380,"FRV AE Solar, LLC",37374219.0
8982,Highland North LLC,36347785.0
3305,"Crystal Lake Wind III, LLC",36072814.0
9708,"Vermont Wind, LLC",35914864.0
8999,Oriana Energy LLC,35442982.0
2089,San Luis Solar LLC,35150838.0
3174,"Kahuku Wind Power, LLC",35148839.0
9006,"Rhode Island Genco, LLC",34776824.0
6977,ORNI 15 LLC,34608728.0
1842,"Cogentrix of Alamosa, LLC",34579128.0
3398,Horse Butte Wind I LLC,34194079.0
8989,"Stony Creek Wind Farm, LLC",33918368.0
4654,"Heritage Stoney Corners Wind Farm I, LLC",33753237.0
4511,Record Hill Wind LLC,33736709.0
237,National Bank of Arizona,33518002.0
9456,"Cirrus Wind 1, LLC",33480730.0
7977,USG Oregon LLC,32749541.0
9000,"PV Properties, Inc",32440655.0
469,"Brea Power II, LLC",32353548.0
3498,Grand Ridge Energy II LLC,32300165.0
403,Dry Lake Wind Power II LLC,32158607.0
3499,Grand Ridge Energy III LLC,32094053.0
1477,"SunRun Solar Tenant IV, LLC",31980487.0
4464,"Roth Rock Wind Farm, LLC",31766924.0
5291,"Ashtabula Wind III, LLC",31437330.0
404,Dry Lake Wind Power LLC,31326365.0
9482,"Enel Cove Fort, LLC",31175946.0
1473,SunRun Pacific Solar LLC,31017155.0
